792,1,4
792,2,4
792,3,4
792,4,4
792,5,5
792,6,5
792,7,4
792,8,4
792,9,3
792,13,5
792,14,5
792,17,5
792,18,5
792,19,4
792,20,2
792,21,5
792,22,5
792,23,4
792,26,5
792,27,5
474,1,5
474,2,5
474,3,5
474,4,5
474,5,5
474,6,5
474,7,5
474,8,5
474,9,5
474,14,5
474,15,5
474,17,5
474,18,1
474,19,1
474,20,1
474,21,1
474,22,5
474,23,5
474,24,5
474,25,5
474,26,5
474,27,1
831,1,5
831,3,5
831,4,5
831,5,5
831,6,5
831,7,5
831,8,5
831,9,5
831,12,5
831,14,4
831,16,2
831,17,5
831,20,1
831,21,1
831,22,5
831,23,5
831,24,5
831,26,5
831,27,2
204,1,4
204,2,4
204,3,4
204,4,3
204,5,4
204,6,3
204,7,3
204,8,4
204,9,4
204,10,3
204,11,4
204,12,4
204,13,3
204,14,2
204,15,4
204,16,3
204,17,4
204,20,4
204,22,5
204,23,5
204,24,4
204,25,5
204,26,5
204,27,5
62,1,5
62,3,5
62,4,5
62,5,5
62,6,5
62,8,5
62,12,4
62,13,5
62,14,5
62,19,5
62,20,1
62,22,5
62,23,5
62,26,5
479,1,4
479,6,5
479,8,5
479,12,5
479,17,4
479,18,4
479,20,4
479,23,5
224,1,4
224,3,5
224,4,3
224,5,5
224,6,5
224,8,4
224,9,4
224,13,5
224,14,3
224,15,4
224,16,4
224,17,4
224,20,3
224,21,5
224,22,4
224,23,5
224,24,5
224,25,5
224,26,5
686,1,4
686,3,4
686,4,5
686,5,4
686,6,4
686,12,3
686,14,4
686,22,4
686,23,4
686,25,4
686,26,4
519,3,3
519,4,4
519,6,3
519,7,3
519,12,4
519,14,4
519,17,3
519,18,3
519,23,5
519,24,4
519,25,3
519,26,4
253,1,5
253,2,4
253,3,4
253,4,5
253,5,3
253,6,5
253,7,4
253,8,2
253,9,3
253,10,5
253,11,3
253,12,3
253,13,5
253,14,5
253,15,5
253,16,4
253,17,4
253,18,3
253,19,3
253,20,1
253,21,3
253,22,4
253,23,5
253,24,1
253,25,1
253,26,5
253,27,5
263,1,5
263,2,4
263,3,4
263,4,3
263,5,5
263,6,5
263,7,5
263,8,4
263,9,3
263,10,2
263,11,2
263,12,5
263,13,3
263,14,2
263,15,2
263,16,2
263,17,5
263,20,5
263,23,5
263,24,4
263,26,5
263,27,5
616,3,3
616,5,5
616,6,4
616,7,4
616,8,3
616,23,5
331,1,5
331,4,4
331,5,5
331,6,5
331,8,4
331,9,5
331,16,4
331,17,4
331,20,3
331,22,5
331,23,4
355,6,5
355,12,3
355,13,5
355,17,5
355,20,3
450,1,2
450,4,4
450,6,4
450,12,4
450,13,5
450,14,5
450,20,4
450,22,5
450,23,5
450,26,5
151,1,4
151,5,5
151,6,4
151,8,4
151,9,5
151,12,2
151,13,4
151,20,2
151,22,4
151,23,5
151,25,5
151,26,5
151,27,5
52,3,2
52,5,3
52,6,3
52,8,3
52,16,3
52,17,3
52,19,3
52,20,3
52,22,3
52,23,3
52,24,3
3,1,5
3,3,5
3,4,4
3,5,4
3,6,3
3,7,3
3,9,3
3,12,4
3,19,4
3,20,3
3,22,5
3,23,5
908,1,4
908,2,3
908,3,4
908,4,4
908,5,2
908,8,3
908,11,5
908,12,4
908,13,5
908,14,5
908,15,5
908,19,5
908,20,2
908,22,4
908,23,4
908,26,5
908,27,5
913,1,3
913,4,4
913,5,5
913,6,5
913,9,5
913,12,4
913,14,3
