Timestamp,ID,Age?,Gender,Preferred Genres,Rating [Star Wars],Rating [Spotlight],Rating [Rocky],Rating [Mad Max: Fury Road],Rating [Kung Fu Panda 3],Rating [Despicable Me],Rating [Big Hero 6],Rating [The hungover],Rating [Inside out],Rating [The big short],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Inglourious Basterds],Rating [The usual suspects],Rating [Mamma mia],Rating [Frozen],Rating [Legally blonde],Rating [Silver Linings],Rating [Twilight],Rating [Bridget Jones Diary],Rating [Gone girl],Rating [The matrix],Rating [Alien],Rating [2001: A space Odyssey],Rating [The godfather],Rating [Pretty woman]
3/1/16 19:05,792,20-30,Female,"Comedy, Romantic, Animation",4,4,4,4,5,5,4,4,3,N/A,N/A,N/A,5,5,N/A,N/A,5,5,4,2,5,5,4,N/A,N/A,5,5
3/1/16 19:05,474,20-30,Male,"Comedy, Action, Sci-Fi & Fantasy, Animation",5,5,5,5,5,5,5,5,5,N/A,N/A,N/A,N/A,5,5,N/A,5,1,1,1,1,5,5,5,5,5,1
3/1/16 19:05,831,20-30,Male,"Comedy, Action, Sci-Fi & Fantasy, Animation",5,N/A,5,5,5,5,5,5,5,N/A,N/A,5,N/A,4,N/A,2,5,N/A,N/A,1,1,5,5,5,N/A,5,2
3/1/16 19:05,204,20-30,Female,"Comedy, Sci-Fi & Fantasy",4,4,4,3,4,3,3,4,4,3,4,4,3,2,4,3,4,N/A,N/A,4,N/A,5,5,4,5,5,5
3/1/16 19:05,62,20-30,Male,"Comedy, Action, Sci-Fi & Fantasy, Romantic, Animation, Drama",5,N/A,5,5,5,5,N/A,5,N/A,N/A,N/A,4,5,5,N/A,N/A,N/A,N/A,5,1,N/A,5,5,N/A,N/A,5,N/A
3/1/16 19:05,479,20-30,Female,"Comedy, Action, Sci-Fi & Fantasy, Drama",4,N/A,N/A,N/A,N/A,5,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,4,4,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A
3/1/16 19:05,224,20-30,Male,"Comedy, Action, Sci-Fi & Fantasy, Animation, Drama",4,N/A,5,3,5,5,N/A,4,4,N/A,N/A,N/A,5,3,4,4,4,N/A,N/A,3,5,4,5,5,5,5,N/A
3/1/16 19:05,75,20-30,Male,Sci-Fi & Fantasy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/1/16 19:05,686,20-30,Male,"Comedy, Action, Sci-Fi & Fantasy, Drama",4,N/A,4,5,4,4,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,N/A,4,4,N/A
3/1/16 19:05,519,20-30,Male,"Comedy, Action, Sci-Fi & Fantasy, Animation",N/A,N/A,3,4,N/A,3,3,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,3,3,N/A,N/A,N/A,N/A,5,4,3,4,N/A
3/1/16 19:05,253,20-30,Male,"Comedy, Action, Sci-Fi & Fantasy, Animation",5,4,4,5,3,5,4,2,3,5,3,3,5,5,5,4,4,3,3,1,3,4,5,1,1,5,5
3/1/16 19:05,263,20-30,Male,"Comedy, Drama",5,4,4,3,5,5,5,4,3,2,2,5,3,2,2,2,5,N/A,N/A,5,N/A,N/A,5,4,N/A,5,5
3/1/16 19:05,616,20-30,Male,"Comedy, Action, Sci-Fi & Fantasy, Animation",N/A,N/A,3,N/A,5,4,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A
3/1/16 19:06,331,20-30,Female,"Comedy, Action, Animation",5,N/A,N/A,4,5,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,4,4,N/A,N/A,3,N/A,5,4,N/A,N/A,N/A,N/A
3/1/16 19:06,355,20-30,Female,"Comedy, Animation",N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,3,5,N/A,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/1/16 19:06,450,20-30,Female,"Sci-Fi & Fantasy, Romantic, Drama",2,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,4,5,5,N/A,N/A,N/A,N/A,N/A,4,N/A,5,5,N/A,N/A,5,N/A
3/1/16 19:06,151,30-40,Female,"Comedy, Sci-Fi & Fantasy, Animation, Drama",4,N/A,N/A,N/A,5,4,N/A,4,5,N/A,N/A,2,4,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,4,5,N/A,5,5,5
3/1/16 19:06,52,20-30,Female,"Comedy, Sci-Fi & Fantasy, Romantic, Animation, Drama",N/A,N/A,2,N/A,3,3,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,3,3,N/A,3,3,3,N/A,N/A,N/A
