1,3,1
2,2,1
2,3,1
3,1,1
3,5,1
4,1,1
4,5,1
5,2,1
5,7,1
6,6,1
6,7,1
7,6,1
7,7,1
8,1,1
9,2,1
9,3,1
10,2,1
10,4,1
11,1,1
11,2,1
11,4,1
12,1,1
12,7,1
13,6,1
14,2,1
14,3,1
15,3,1
15,4,1
16,7,1
17,2,1
17,3,1
17,6,1
18,4,1
18,7,1
19,1,1
19,6,1
19,7,1
20,1,1
20,5,1
20,7,1
21,3,1
21,7,1
22,1,1
22,4,1
23,2,1
23,6,1
23,7,1
24,2,1
24,3,1
24,6,1
25,2,1
25,3,1
25,6,1
25,7,1
26,2,1
26,3,1
26,6,1
27,1,1
27,4,1
28,1,1
28,5,1
29,6,1
1356,1,1
1356,2,1
1356,3,1
1356,4,1
1356,6,1
1356,7,1
